State,Scale,N,Mean,SD,SE,Grand_Mean,CR,abs_CR
Illinois,NEO_Openness,814,4.24881003732362,0.8604666940098051,0.030159342017588214,4.275382211031184,-0.8810594638327137,0.8810594638327137
Illinois,NEO_Conscientiousness,820,4.349520555668515,0.8375607623812649,0.02924889054974701,4.294257775523954,1.889397481609381,1.889397481609381
Illinois,NEO_Extraversion,812,4.069677421973736,0.9070626319544004,0.031831658078393575,3.95334257682636,3.65469008434534,3.65469008434534
Illinois,NEO_Agreeableness,817,4.3058779755883805,0.7899688233936547,0.027637510695993975,4.290150404651007,0.5690661185217945,0.5690661185217945
Illinois,NEO_Neuroticism,814,3.2224065922003433,0.9469061527730966,0.03318904347937148,3.32121281217153,-2.9770734439092643,2.9770734439092643
Illinois,Ideology,411,0.14699973671896824,0.9601276906617763,0.04735960638788467,0.11908187338052856,0.5894868109710791,0.5894868109710791
Illinois,Honesty_Humility,460,0.02201832247958891,0.708105504995781,0.033015589407500066,0.06337256471239115,-1.2525671349489191,1.2525671349489191
New York,NEO_Openness,680,4.394886325939412,0.8052633640190102,0.030880440350201807,4.275382211031184,3.8698967227469248,3.8698967227469248
New York,NEO_Conscientiousness,678,4.230819455491611,0.857416266661641,0.032928873342563655,4.294257775523954,-1.9265256777049649,1.9265256777049649
New York,NEO_Extraversion,677,3.9325963270065905,0.8919644510459896,0.03428097865698427,3.95334257682636,-0.6051825424051286,0.6051825424051286
New York,NEO_Agreeableness,679,4.221303875052583,0.7962881570827782,0.030558734800739465,4.290150404651007,-2.252924738126186,2.252924738126186
New York,NEO_Neuroticism,676,3.391998420148792,0.9547410354001676,0.0367208090538526,3.32121281217153,1.9276701630797863,1.9276701630797863
New York,Ideology,353,0.00045229849697149354,0.9297147255248825,0.0494837218450928,0.11908187338052856,-2.397345439272396,2.397345439272396
New York,Honesty_Humility,402,-0.04579914900194246,0.7449127651027099,0.03715287188878526,0.06337256471239115,-2.9384461594552405,2.9384461594552405
Michigan,NEO_Openness,850,4.1858354082737685,0.8112293739702453,0.027824937972388053,4.275382211031184,-3.218221109649082,3.218221109649082
Michigan,NEO_Conscientiousness,854,4.367138908913765,0.8049723145616398,0.027545585534676044,4.294257775523954,2.645837145050476,2.645837145050476
Michigan,NEO_Extraversion,852,3.9369849818546805,0.904455528431979,0.0309861358311343,3.95334257682636,-0.5279004475041332,0.5279004475041332
Michigan,NEO_Agreeableness,856,4.380044868265171,0.7872574437079609,0.026907905473208656,4.290150404651007,3.3408198086495116,3.3408198086495116
Michigan,NEO_Neuroticism,852,3.3937375221987747,0.9776220427583584,0.03349277930882778,3.32121281217153,2.165383450519708,2.165383450519708
Michigan,Ideology,446,0.23112979405527145,0.9493249658706346,0.04495183996955646,0.11908187338052856,2.492621453329321,2.492621453329321
